county_from,tattoo_artists,manicurists,all
Unknown or Out of State,209,835,0
Island,25,40,0
Pierce,79,71,0
Spokane,78,72,0
King,91,81,0
Clark,78,69,0
Snohomish,80,71,0
Kitsap,64,54,0
Asotin,9,16,0
Chelan,30,37,0
Skagit,38,44,0
Whatcom,65,58,0
Thurston,70,58,0
Jefferson,12,18,0
Kittitas,13,34,0
Whitman,14,31,0
Douglas,18,35,0
Grays Harbor,35,32,0
Grant,38,48,0
Franklin,29,51,0
Cowlitz,51,53,0
Yakima,52,59,0
Pacific,10,20,0
Mason,21,31,0
Okanogan,24,18,0
San Juan,4,13,0
Benton,67,46,0
Lewis,37,42,0
Walla Walla,20,35,0
Adams,2,20,0
Stevens,20,34,0
Clallam,24,41,0
Klickitat,16,18,0
Columbia,1,3,0
Lincoln,6,15,0
Pend Oreille,1,7,0
Ferry,0,7,0
Wahkiakum,0,2,0
Skamania,0,6,0
Garfield,1,2,0
