Transaction Month,Professional Area,License Type,Transaction Type,County,State,Count
2020 July,Appraisers - Real Estate,Appraiser Course,Original,Unknown or Out of State,VT,2
2020 July,Appraisers - Real Estate,Appraiser Trainee,Original,Island,WA,1
2020 July,Appraisers - Real Estate,Appraiser Trainee,Original,Pierce,WA,3
2020 July,Appraisers - Real Estate,Appraiser Trainee,Original,Spokane,WA,1
2020 July,Appraisers - Real Estate,Certified Residential Appraiser,Original,Unknown or Out of State,FL,1
2020 July,Architects,Architect,Original,King,WA,2
2020 July,Architects,Architect,Original,Unknown or Out of State,CO,2
2020 July,Bail Bonds,Bail Bond Agent,Original,Spokane,WA,1
2020 July,Bail Bonds,Bail Bond Recovery Agent,Original,Unknown or Out of State,OR,1
2020 July,Body Art and Body Piercing,Body Piercing,Original,Pierce,WA,1
2020 July,Body Art and Body Piercing,Body Piercing,Original,Spokane,WA,1
2020 July,Body Art and Body Piercing,Permanent Cosmetics,Original,Clark,WA,1
2020 July,Body Art and Body Piercing,Tattoo Artist,Original,Clark,WA,2
2020 July,Body Art and Body Piercing,Tattoo Artist,Original,Spokane,WA,2
2020 July,CDL Training and Examining,CDL Training Provider-Employer,Original,King,WA,1
2020 July,Cosmetology,Cosmetologist,Original,Clark,WA,1
2020 July,Cosmetology,Manicurist,Original,Snohomish,WA,1
2020 July,Cosmetology,Manicurist,Original,Unknown or Out of State,PA,1
2020 July,Cosmetology,Mobile Unit,Original,King,WA,3
2020 July,Cosmetology,Personal Service,Original,Kitsap,WA,1
2020 July,Cosmetology,Salon Shop,Original,Asotin,WA,1
2020 July,Cosmetology,Salon Shop,Original,Chelan,WA,1
2020 July,Cosmetology,Salon Shop,Original,Island,WA,1
2020 July,Cosmetology,Salon Shop,Original,Pierce,WA,7
2020 July,Cosmetology,Salon Shop,Original,Skagit,WA,4
2020 July,Cosmetology,Salon Shop,Original,Spokane,WA,11
2020 July,Cosmetology,Salon Shop,Original,Whatcom,WA,1
2020 July,Court Reporters,Court Reporter,Original,Unknown or Out of State,CA,2
2020 July,Court Reporters,Court Reporter,Original,Unknown or Out of State,NV,1
2020 July,Funerals,Funeral Director Intern,Original,Thurston,WA,1
2020 July,Funerals,Prearrangement Funeral Services,Original,King,WA,1
2020 July,Notary Public,Notary Public,Original,Jefferson,WA,1
2020 July,Notary Public,Notary Public,Original,Kittitas,WA,5
2020 July,Notary Public,Notary Public,Original,Thurston,WA,18
2020 July,Notary Public,Notary Public,Original,Whitman,WA,2
2020 July,Real Estate,Real Estate Branch,Original,King,WA,3
2020 July,Real Estate,Real Estate Broker,Original,Douglas,WA,1
2020 July,Real Estate,Real Estate Course,Original,Unknown or Out of State,PA,2
2020 July,Real Estate,Real Estate Firm,Original,King,WA,3
2020 July,Real Estate,Real Estate Firm,Original,Snohomish,WA,1
2020 July,Real Estate,Real Estate Managing Broker,Original,Chelan,WA,1
