county_from,all licenses
Unknown or Out of State,13301
Island,886
Pierce,2475
Spokane,2170
King,3207
Clark,2033
Snohomish,2371
Kitsap,1644
Asotin,313
Chelan,1011
Skagit,1271
Whatcom,1542
Thurston,1764
Jefferson,519
Kittitas,745
Whitman,489
Douglas,579
Grays Harbor,843
Grant,976
Franklin,920
Cowlitz,1063
Yakima,1429
Pacific,459
Mason,720
Okanogan,589
San Juan,402
Benton,1471
Lewis,946
Walla Walla,767
Adams,331
Stevens,553
Clallam,885
Klickitat,409
Columbia,110
Lincoln,279
Pend Oreille,312
Ferry,130
Wahkiakum,86
Skamania,171
Garfield,45
totals,50216
